,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
1333,Cd1Li1,102008,0,,112.411,48.0,-941.4766460000001,-136.83248999999998,-127.63512,-25.379908,-21.637522,-14.685251999999998,-3.5960690000000004,-2.39526,-0.47053,,-0.204228,,,,,,,,1.55,1.61,1040.0,203.0,42.0,30.8,,,,,,,1.0,,,,,,,8650.0,7.0,,,,,,,1.09,,,,,,,445.78,594.22,75.0,2.0,13.0,,,,,,,1.0,1.0,,,,,,,0.3,0.67,,19.0,0.517,97.0,1.58,2310.0,,1.69,50.0,1.51,75.0,75.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1335,La1Ru2,104712,0,,138.90547,57.0,-1355.622446,-209.83115099999998,-198.325243,-44.856283000000005,-39.895838,-30.626696000000003,-9.000542999999999,-7.167724000000001,-3.95801,,-1.3249360000000001,-0.8244979999999998,-0.141085,,-0.132233,,,,1.95,,3743.0,363.0,28.0,12.1,,,,,,,,1.0,,,,,,6146.0,61.5,,,,,,,,1.172,,,,,,2550.0,1193.0,33.0,2.5,22.39,,,,,,,,1.0,1.0,,,,,,0.28,,,14.0,6.0,13.0,,2475.0,491.0,1.1,37.0,1.8769999999999998,47.0,47.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1336,S4V3,72920,0,,32.065,16.0,-87.789937,-7.69994,-5.751257,-0.6309120000000001,-0.261676,,,,,,,,,,,,,,1.0,0.88,717.87,,7.700000000000001,,,,1.0,,,,1.0,,1.0,,1.0,,1314.0,1960.0,,,,1.6999999999999995,,,,,,0.51,,0.43,,,329.50999999999993,388.36,94.0,2.0,15.53,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.001111,,,0.205,1.8000000000000005,,,2.5800000000000005,,,96.0,96.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
1338,Ga5Mg2,23227,0,,69.723,31.0,-370.170639,-45.200869,-40.093339,-5.241644999999999,-3.5846660000000004,-0.736204,-0.328019,-0.101634,,,,,,,,,,,1.3,1.36,2477.0,60.0,,120.0,,,,,,,,1.0,,,,,,5904.0,14.0,,,,,,,,0.76,,,,,,2174.09,302.91,81.0,1.5,11.8,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.083,29.0,1.8700000000000003,2740.0,,1.8100000000000005,,1.35,79.0,79.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1342,N1Ti1,105128,0,,14.0067,7.0,-14.011501,-0.6761510000000001,-0.266297,,,,,,,,,,,,,,,,0.65,0.56,77.36,,,,,1.0,,,,,,1.0,,1.0,,,126.2,,,,1.32,,,,,,0.3,,0.27,,,,14.31,63.05,100.0,,13.54,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.000298,,,0.025830000000000002,1.55,333.6,,3.04,,,91.0,91.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
1343,Se1Ta2,657372,0,,78.96,34.0,-451.300258,-57.311948,-51.514388000000004,-7.547186,-5.553517,-2.011392,-0.6212479999999999,-0.245806,,,,,,,,,,,1.15,1.03,958.0,736.0,8.3,,,,1.0,,,,1.0,,1.0,,1.0,,1766.0,4819.0,,,,1.84,,,,,,0.64,,0.56,,,464.0,494.0,93.0,2.0,16.42,,,,1.0,,,,1.0,,1.0,,1.0,,,0.33,,1.000895,3.7000000000000006,,0.52,1.9,3350.0,,2.55,10.0,,95.0,95.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
1344,As1Ge1,17033,0,,74.9216,33.0,-423.336658,-53.093086,-47.527869,-6.730755,-4.851725,-1.542767,-0.52367,-0.197497,,,,,,,,,,,1.15,1.14,887.0,1440.0,22.0,,,1.0,,,,,,1.0,,1.0,,,1700.0,5727.0,33.0,,,,,,,,0.72,,0.6,,,,203.0,1090.0,89.0,3.5,12.95,,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.001552,,,50.0,1.85,,,2.18,8.0,,89.0,89.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
1346,As1Mn3,76409,0,,74.9216,33.0,-423.336658,-53.093086,-47.527869,-6.730755,-4.851725,-1.542767,-0.52367,-0.197497,,,,,,,,,,,1.15,1.14,887.0,1440.0,22.0,,,1.0,,,,,,1.0,,1.0,,,1700.0,5727.0,33.0,,,,,,,,0.72,,0.6,,,,203.0,1090.0,89.0,3.5,12.95,,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.001552,,,50.0,1.85,,,2.18,8.0,,89.0,89.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
1348,Nb1S2,67443,0,,92.90638,41.0,-673.76253,-92.74086,-85.272175,-15.393726999999998,-12.552855000000001,-7.339839,-2.036693,-1.250049,-0.125252,,-0.144272,,,,,,,,1.45,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.199999999999998,,,,,,,,0.86,0.82,0.7799999999999999,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4000000000000001,,,38.0,9.25,54.0,,3480.0,1320.0,1.6000000000000003,105.0,1.473,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1349,Cu6Sn5,106530,0,,63.54600000000001,29.0,-320.78852,-38.14131,-33.481246999999996,-4.057453,-2.609244,-0.20227200000000006,-0.172056,,,,,,,,,,,,1.35,1.45,3200.0,874.0,140.0,16.5,,,,,,,1.0,,,,,,,8920.0,1.7200000000000002,,,,,,0.91,0.87,0.68,,,,,,1842.23,1357.7700000000002,72.0,3.0,7.11,,,,,,,1.0,1.0,1.0,1.0,,,,,0.34,0.9,,48.0,,400.0,1.4,3570.0,369.0,1.9,130.0,1.278,73.0,73.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1351,Fe2Zr1,103714,0,,55.845,26.0,-254.22550499999997,-29.564859999999996,-25.551766,-3.360621,-2.187523,-0.295049,-0.197978,,,,,,,,,,,,1.3999999999999997,1.5599999999999998,3134.0,490.0,170.0,11.800000000000002,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.09,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.65,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2770000000000001,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.69,0.725,,0.39,
1352,Au1Mg1,58538,0,,196.966569,79.0,-2683.508245,-447.888973,-430.72570099999996,-104.824516,-96.70700000000001,-81.511751,-22.078357,-18.578651999999998,-12.131815,-3.486824,-3.1139360000000003,-2.002495,-0.304738,,-0.16233399999999998,,,,1.35,1.74,3129.0,2450.0,220.0,14.2,,,,,,,,1.0,,,,,,19300.0,2.2,,,,,,1.51,,0.99,,0.71,,,,1791.67,1337.33,70.0,2.5,10.21,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,0.44,0.95,,27.0,,320.0,1.66,1740.0,216.0,2.54,78.0,1.442,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,Si1Tc1,652380,0,,28.0855,14.0,-65.184426,-5.075056,-3.514938,-0.39813899999999997,-0.153293,,,,,,,,,,,,,,1.1,1.11,3173.0,,100.0,2.6,1.0,,,,,,,,1.0,,,,,2330.0,100000.0,,,,,,,,,0.54,,,,,1486.0,1687.0,85.0,6.5,12.06,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.28,,,,150.0,2.1,2200.0,,1.9,47.0,,85.0,85.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1355,Al1Co1,57596,0,,26.9815386,13.0,-55.156043999999994,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.1,,,,,,,,1.0,,,,,,2700.0,2.7,,,,,,,,0.675,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.35,0.71,,26.0,1.175,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1357,Ni1Te2,646897,0,,58.6934,28.0,-297.870824,-35.312112,-30.868027,-3.950717,-2.594158,-0.34869900000000004,-0.21076400000000006,,,,,,,,,,,,1.3500000000000003,1.49,3186.0,700.0,180.0,13.4,,,,,,,1.0,,,,,,,8908.0,7.2,,,,,,,,0.7399999999999999,,,,,,1458.0,1728.0,67.0,4.0,6.59,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.31,0.7200000000000001,,76.0,,91.0,1.63,4970.0,638.0,1.91,200.0,1.246,70.0,70.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.7399999999999999,,0.83,0.6999999999999998,0.62,,,
1360,Pd10Te3,77903,0,,106.42,46.0,-860.1349090000001,-123.10507800000002,-114.408286,-22.060898000000005,-18.580798,-12.132197,-2.889173,-1.815215,-0.160771,,,,,,,,,,1.4,1.69,3236.0,37.3,180.0,11.8,,,,,,,1.0,,1.0,,,,,12023.0,10.8,,,,,,0.73,1.0,0.8999999999999999,0.755,,,,,1407.9499999999996,1828.05,69.0,4.75,8.56,,,,,,,,1.0,,1.0,,,,,0.39,0.72,,44.0,,72.0,1.63,3070.0,461.0,2.2,121.0,1.376,69.0,69.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
1361,Be2Nb1,58721,0,,9.012182000000001,4.0,-3.856411,-0.205744,,,,,,,,,,,,,,,,,1.05,1.12,2742.0,600.0,130.0,11.300000000000002,,,,,,,1.0,,,,,,,1848.0,3.8,,,,,,,0.59,,,,,,,1182.0,1560.0,77.0,5.5,4.85,,,,,,,,1.0,,,,,,,0.032,,,132.0,0.026000000000000002,190.0,1.53,13000.0,1670.0,1.57,287.0,1.12,17.0,17.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1363,Au2Hf1,611956,0,,196.966569,79.0,-2683.508245,-447.888973,-430.72570099999996,-104.824516,-96.70700000000001,-81.511751,-22.078357,-18.578651999999998,-12.131814999999998,-3.486824,-3.1139360000000003,-2.002495,-0.304738,,-0.16233399999999998,,,,1.3500000000000003,1.74,3129.0,2450.0,220.0,14.199999999999998,,,,,,,,1.0,,,,,,19300.0,2.2,,,,,,1.51,,0.99,,0.71,,,,1791.67,1337.33,70.0,2.5,10.21,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,0.44,0.9499999999999998,,27.0,,320.0,1.66,1740.0,216.0,2.54,78.0,1.442,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,Be13Sc1,616416,0,,9.012182000000001,4.0,-3.856411000000001,-0.205744,,,,,,,,,,,,,,,,,1.05,1.1200000000000003,2742.0,600.0,130.0,11.3,,,,,,,1.0,,,,,,,1848.0,3.8,,,,,,,0.59,,,,,,,1182.0,1560.0,77.0,5.5,4.85,,,,,,,,1.0,,,,,,,0.032000000000000015,,,132.0,0.026000000000000002,190.0,1.53,13000.0,1670.0,1.57,287.0,1.1200000000000003,17.0,17.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1367,In3Ir1,407548,0,,114.818,49.0,-983.647445,-144.078357,-134.62884499999998,-27.2206,-23.345778,-16.139823,-4.062639,-2.795832,-0.730481,,-0.290497,-0.10178200000000001,,,,,,,1.55,1.56,2345.0,8.83,,32.1,,,,,,,,1.0,,,,,,7310.0,8.0,,,,,,,,0.94,,,,,,1915.25,429.75,79.0,1.2,15.76,,,,,,,1.0,1.0,1.0,,,,,,,,,,3.41,82.0,1.93,1215.0,,1.78,11.0,1.67,78.0,78.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1369,Nb1P1,76027,0,,92.90638,41.0,-673.76253,-92.74086,-85.272175,-15.393726999999998,-12.552855000000001,-7.339839,-2.036693,-1.250049,-0.125252,,-0.144272,,,,,,,,1.45,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.2,,,,,,,,0.86,0.82,0.78,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4,,,38.0,9.25,54.0,,3480.0,1320.0,1.6,105.0,1.473,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1374,Pd3Ti2,105725,0,,106.42,46.0,-860.134909,-123.105078,-114.408286,-22.060898,-18.580798,-12.132197,-2.8891730000000004,-1.815215,-0.160771,,,,,,,,,,1.4,1.69,3236.0,37.3,180.0,11.8,,,,,,,1.0,,1.0,,,,,12023.0,10.8,,,,,,0.73,1.0,0.9,0.7550000000000001,,,,,1407.95,1828.05,69.0,4.75,8.559999999999999,,,,,,,,1.0,,1.0,,,,,0.39,0.72,,44.0,,72.0,1.6299999999999997,3070.0,461.0,2.2,121.0,1.376,69.0,69.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
1379,Hf1Mo2,638610,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.23144299999999,-15.883625,-12.971211000000002,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.900000000000001,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1380,Ag1O1,27667,0,,107.8682,47.0,-900.324578,-129.85980700000002,-120.913351,-23.678437,-20.067629999999998,-13.367803,-3.22309,-2.086602,-0.29870599999999997,,-0.157407,,,,,,,,1.6,1.65,2435.0,24.5,100.0,18.9,,,,,,1.0,,,,,,,,10490.0,1.63,,,,,,1.29,1.08,0.89,,,,,,1200.07,1234.93,71.0,2.5,10.27,,,,,,,1.0,1.0,1.0,,,,,,0.37,0.97,,30.0,,430.0,1.72,2600.0,251.0,1.93,83.0,1.445,72.0,72.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1381,Hf1Sb2,638876,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.23144299999999,-15.883625,-12.971211000000002,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.900000000000001,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1382,P1Zr3,43207,0,,30.973762,15.0,-76.061897,-6.329346,-4.576617,-0.512364,-0.20608,,,,,,,,,,,,,,1.0,0.98,550.0,,11.0,,,1.0,,,,,,1.0,,1.0,,,994.0,1823.0,10.0,,,,,,,,0.58,,0.52,,,,232.7,,90.0,,17.02,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.001212,,,0.23600000000000002,1.8,,,2.19,,,90.0,90.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1383,B1Fe1,613898,0,,10.811,5.0,-6.564347,-0.34470100000000004,-0.136603,,,,,,,,,,,,,,,,0.85,0.87,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.39,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
1384,Au1Ti1,612415,0,,196.966569,79.0,-2683.508245,-447.888973,-430.72570099999996,-104.824516,-96.70700000000001,-81.511751,-22.078357,-18.578651999999998,-12.131815,-3.486824,-3.1139360000000003,-2.002495,-0.304738,,-0.16233399999999998,,,,1.35,1.74,3129.0,2450.0,220.0,14.2,,,,,,,,1.0,,,,,,19300.0,2.2,,,,,,1.51,,0.99,,0.71,,,,1791.67,1337.33,70.0,2.5,10.21,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,0.44,0.95,,27.0,,320.0,1.66,1740.0,216.0,2.54,78.0,1.442,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,Ru2Y5,650770,0,,101.07,44.0,-782.9186209999998,-110.53605400000001,-102.333649,-19.366692,-16.145217000000002,-10.195668,-2.6283630000000002,-1.6675490000000002,-0.210375,,-0.152834,,,,,,,,1.3,1.78,4423.0,2160.0,220.0,6.4,,,,,,,,1.0,1.0,,,,,12370.0,7.1000000000000005,,,,,,,,0.82,0.76,0.705,,0.52,0.5,1816.0,2607.0,62.0,6.5,8.17,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,,,173.0,0.4900000000000001,120.0,,5970.0,,2.2,447.0,1.3390000000000002,63.0,63.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1386,F3Nb1,25596,0,,18.998403200000002,9.0,-24.189391,-1.086859,-0.41560600000000003,,,,,,,,,,,,,,,,0.5,0.42,85.03,,,,,,,1.0,,,,,,,,,144.0,,,,,,1.19,,,,,,,,0.22,,31.5,53.53,102.0,,11.2,,,,,1.0,,,,,,,,,,,,1.0001950000000002,,,0.0277,1.47,,,3.98,,,102.0,102.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1388,Hf1N1,53025,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.231443000000006,-15.883625,-12.971211,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.9,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1397,Co1Hf2,623763,0,,58.93319499999999,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.3500000000000003,1.5200000000000002,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.8850000000000001,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.669999999999999,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.8850000000000001,0.75,0.67,0.79,0.685,,,,
1400,Nb3Sb1,190178,0,,92.90638,41.0,-673.76253,-92.74086,-85.272175,-15.393726999999998,-12.552855000000001,-7.339839,-2.036693,-1.250049,-0.125252,,-0.144272,,,,,,,,1.45,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.2,,,,,,,,0.86,0.82,0.78,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4,,,38.0,9.25,54.0,,3480.0,1320.0,1.6,105.0,1.473,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1404,Cr2S3,16720,0,,51.9961,24.0,-213.88119100000003,-24.113457,-20.526273,-2.6490850000000004,-1.6542299999999999,-0.11812300000000002,-0.150445,,,,,,,,,,,,1.4,1.6599999999999997,2944.0,1120.0,160.0,4.9,,,,,,,,1.0,,,1.0,,,7140.0,12.7,,,,,,,0.9399999999999998,,,,,,,764.0,2180.0,57.0,8.5,7.230000000000001,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.21,,,115.0,,94.0,,5940.0,1060.0,1.6599999999999997,279.0,1.2849999999999997,58.0,58.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.9399999999999998,,,0.8699999999999999,0.7550000000000001,0.69,0.6300000000000001,0.5799999999999998,
1406,C1Fe2,76826,0,,12.0107,6.0,-9.947718,-0.500866,-0.199186,,,,,,,,,,,,,,,,0.6999999999999998,0.67,4300.0,,33.0,7.099999999999999,1.0,,,,,,,,1.0,,,,,2267.0,1000.0,,,,,,,,,0.3,,,,,500.0,3800.0,95.0,0.5,5.29,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.27,2.417,,,140.0,1.7,18350.0,,2.55,,,86.0,86.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
1407,Fe1Sn1,150620,0,,55.845,26.0,-254.22550499999997,-29.564859999999996,-25.551766,-3.360621,-2.187523,-0.295049,-0.197978,,,,,,,,,,,,1.4,1.56,3134.0,490.0,170.0,11.8,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.09,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.65,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2770000000000001,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.69,0.725,,0.39,
1409,C1W1,424342,0,,12.0107,6.0,-9.947718,-0.500866,-0.199186,,,,,,,,,,,,,,,,0.7,0.67,4300.0,,33.0,7.1,1.0,,,,,,,,1.0,,,,,2267.0,1000.0,,,,,,,,,0.3,,,,,500.0,3800.0,95.0,0.5,5.29,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.27,2.417,,,140.0,1.7,18350.0,,2.55,,,86.0,86.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
1410,Te4Ti5,15451,0,,127.6,52.0,-1115.831819,-167.021776,-156.808583,-33.137485,-28.860685000000004,-20.887801,-5.572846,-4.100084,-1.6083809999999998,,-0.520997,-0.226594,,,,,,,1.4,1.23,1261.0,180.0,65.0,,,,1.0,,,,1.0,,1.0,,1.0,,,6240.0,10000.0,,,2.07,,,,,,1.1100000000000003,,0.7,,,538.34,722.66,92.0,2.25,20.46,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,0.5,1.000991,16.0,,3.0,2.06,2610.0,,2.1,43.0,,94.0,94.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
1413,B4V3,615659,0,,10.810999999999998,5.0,-6.564347,-0.34470100000000004,-0.136603,,,,,,,,,,,,,,,,0.8499999999999999,0.87,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.39,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
1414,In1Sb1,44641,0,,114.818,49.0,-983.647445,-144.078357,-134.62884499999998,-27.2206,-23.345778,-16.139823,-4.062639,-2.795832,-0.730481,,-0.290497,-0.10178200000000001,,,,,,,1.55,1.56,2345.0,8.83,,32.1,,,,,,,,1.0,,,,,,7310.0,8.0,,,,,,,,0.94,,,,,,1915.25,429.75,79.0,1.2,15.76,,,,,,,1.0,1.0,1.0,,,,,,,,,,3.41,82.0,1.93,1215.0,,1.78,11.0,1.67,78.0,78.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1421,Cu1Zr1,103163,0,,63.54600000000001,29.0,-320.78852,-38.14131,-33.481246999999996,-4.057453,-2.609244,-0.202272,-0.172056,,,,,,,,,,,,1.35,1.45,3200.0,874.0,140.0,16.5,,,,,,,1.0,,,,,,,8920.0,1.72,,,,,,0.91,0.87,0.68,,,,,,1842.23,1357.77,72.0,3.0,7.11,,,,,,,1.0,1.0,1.0,1.0,,,,,0.34,0.9,,48.0,,400.0,1.4,3570.0,369.0,1.9,130.0,1.278,73.0,73.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1426,Al2Cu1,151384,0,,26.981538600000004,13.0,-55.156043999999994,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.100000000000005,,,,,,,,1.0,,,,,,2700.0,2.7000000000000006,,,,,,,,0.6750000000000002,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.3499999999999999,0.71,,26.0,1.175,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
