,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
13432,Nb1Ni1Te2,71841,0,,92.90638,41.0,-673.76253,-92.74086,-85.272175,-15.393726999999998,-12.552855000000001,-7.339839,-2.036693,-1.250049,-0.125252,,-0.144272,,,,,,,,1.45,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.2,,,,,,,,0.86,0.82,0.78,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4,,,38.0,9.25,54.0,,3480.0,1320.0,1.6,105.0,1.473,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13433,Mo6S8Sb1,604444,0,,95.94,42.0,-709.232119,-98.50363799999998,-90.79154100000001,-16.681545,-13.71481,-8.257721,-2.2348240000000006,-1.3900499999999998,-0.153347,,-0.14788000000000004,,,,,,,,1.4499999999999995,1.9,4912.0,1500.0,230.0,4.799999999999999,,,,,,,,,1.0,,1.0,,,10280.0,5.5,,,,,,,,0.83,0.7900000000000001,0.75,0.73,,,2016.0,2896.0,56.0,5.5,9.38,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.30999999999999994,0.58,,20.0,0.915,139.0,,6190.0,1530.0,2.1600000000000006,329.0,1.402,57.0,57.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
13435,Cd1Ge1P2,52804,0,,112.411,48.0,-941.4766460000001,-136.83248999999998,-127.63512,-25.379908,-21.637522,-14.685251999999998,-3.5960690000000004,-2.39526,-0.47053,,-0.204228,,,,,,,,1.55,1.61,1040.0,203.0,42.0,30.8,,,,,,,1.0,,,,,,,8650.0,7.0,,,,,,,1.09,,,,,,,445.78,594.22,75.0,2.0,13.0,,,,,,,1.0,1.0,,,,,,,0.3,0.67,,19.0,0.517,97.0,1.58,2310.0,,1.69,50.0,1.51,75.0,75.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13437,Cs1I11Nb6,25035,0,,132.9054519,55.0,-1256.738791,-191.98187300000004,-180.995344,-39.851584,-35.166422999999995,-26.418398,-7.455966,-5.769326,-2.848386,,-0.915819,-0.504903,,,-0.078699,,,,2.6,2.98,944.0,0.14,1.6000000000000003,,,,,,,1.0,,,,,,,1938.0,1879.0,21.0,,,,,,1.81,,,,,,,,642.41,301.59,8.0,0.20000000000000004,70.94,,,,,,,1.0,,,,,,,,,,,,,36.0,3.4300000000000006,,,0.79,1.7,2.719,7.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13445,Co3Hf2Si4,20958,0,,58.93319499999999,27.0,-275.6166390000001,-32.379758,-28.152095000000003,-3.651812000000001,-2.3882849999999998,-0.322368,-0.20449700000000004,,,,,,,,,,,,1.3500000000000003,1.52,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.8850000000000001,0.75,0.6700000000000002,,,,,1432.0,1768.0,64.0,5.0,6.669999999999999,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.6700000000000002,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.8850000000000001,0.75,0.6700000000000002,0.79,0.685,,,,
13448,Ni2Sn1Zr2,54303,0,,58.6934,28.0,-297.870824,-35.312112,-30.868027,-3.950717,-2.594158,-0.348699,-0.21076399999999998,,,,,,,,,,,,1.35,1.4899999999999998,3186.0,700.0,180.0,13.4,,,,,,,1.0,,,,,,,8908.0,7.2,,,,,,,,0.74,,,,,,1458.0,1728.0,67.0,4.0,6.590000000000002,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.30999999999999994,0.72,,76.0,,91.0,1.6299999999999997,4970.0,638.0,1.91,200.0,1.246,70.0,70.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.74,,0.8299999999999998,0.7,0.6199999999999999,,,
13450,Ca2Ge2Sn1,193226,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13451,Al2C1Nb3,606235,0,,26.981538600000004,13.0,-55.156043999999994,-3.934827,-2.564018,-0.286883,-0.10254500000000001,,,,,,,,,,,,,,1.25,1.18,2792.0,245.0,76.0,23.100000000000005,,,,,,,,1.0,,,,,,2700.0,2.7000000000000006,,,,,,,,0.6750000000000002,,,,,,1858.53,933.47,80.0,2.75,10.0,,,,,,,1.0,,1.0,,,,,,0.3499999999999999,0.71,,26.0,1.175,235.0,1.84,5100.0,167.0,1.61,70.0,1.43,80.0,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13452,Hf2P1Sb1,638764,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.231443000000006,-15.883625,-12.971211,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.9,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
13456,B5Ca2Os3,59227,0,,10.810999999999998,5.0,-6.5643470000000015,-0.34470100000000004,-0.13660299999999995,,,,,,,,,,,,,,,,0.85,0.8699999999999999,4200.0,,320.0,6.0,,,,,,,,1.0,,,,,,2460.0,,,,,,,,,0.41,,,,,,1851.0,2349.0,86.0,9.3,4.389999999999999,,,,,,,1.0,1.0,1.0,,,,,,,,,,,27.0,1.92,16200.0,49000.0,2.04,,,81.0,81.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
